"","scientificName","countryCode","year"
"1","Solanum lycopersicum L.","SE",2014
"2","Solanum lycopersicum L.","SE",2014
"3","Solanum lycopersicum L.","SE",2014
"4","Solanum lycopersicum L.","SE",1978
"5","Solanum lycopersicum L.","SE",2014
"6","Solanum lycopersicum L.","SE",2014
"7","Solanum lycopersicum L.","SE",2014
"8","Solanum lycopersicum L.","SE",2014
"9","Solanum lycopersicum L.","SE",2014
"10","Solanum lycopersicum L.","SE",2014
"11","Solanum lycopersicum L.","SE",2014
"12","Solanum lycopersicum L.","SE",2014
"13","Solanum lycopersicum L.","AT",1892
"14","Solanum lycopersicum L.","LI",1882
"15","Solanum lycopersicum L.","AT",1921
"16","Solanum lycopersicum L.","PE",2013
"17","Solanum lycopersicum L.","SE",2014
"18","Solanum lycopersicum L.","SE",1975
"19","Solanum lycopersicum L.","SE",1978
"20","Solanum lycopersicum L.","SE",2007
"21","Solanum lycopersicum L.","SE",1997
"22","Solanum lycopersicum L.","SE",1996
"23","Solanum lycopersicum L.","SE",1999
"24","Solanum lycopersicum L.","SE",2008
"25","Solanum lycopersicum L.","SE",2001
"26","Solanum lycopersicum L.","SE",1996
"27","Solanum lycopersicum L.","SE",1997
"28","Solanum lycopersicum L.","SE",1999
"29","Solanum lycopersicum L.","SE",2008
"30","Solanum lycopersicum L.","SE",2007
"31","Solanum lycopersicum L.","SE",2001
"32","Solanum lycopersicum L.","SE",1997
"33","Solanum lycopersicum L.","SE",1999
"34","Solanum lycopersicum L.","SE",2014
"35","Solanum lycopersicum L.","SE",2014
"36","Solanum lycopersicum L.","SE",2014
"37","Solanum lycopersicum L.","SE",2014
"38","Solanum lycopersicum L.","SE",2006
"39","Solanum lycopersicum L.","SE",2013
"40","Solanum lycopersicum L.","SE",2011
"41","Solanum lycopersicum L.","SE",2013
"42","Solanum lycopersicum L.","NC",1981
"43","Solanum lycopersicum L.","NC",1981
"44","Solanum lycopersicum L.","NC",1981
"45","Solanum lycopersicum L.","NC",1981
"46","Solanum lycopersicum L.","NC",1981
"47","Solanum lycopersicum L.","NC",1981
"48","Solanum lycopersicum L.","BE",2014
"49","Lycopersicum esculentum var. cerasiforme (Dunal) A.Gray","CN",1957
